"Autor","Familia ","Genero","specie "
"Ana Cordoba","Nymphalidae","Zaretis "," crawfordhilli"
"Ana Cordoba","Sphingidae","Aellopos","ceculus"
"Ana Cordoba","Limacodidae","Epiperola ","Vaferella "
"Ana Cordoba","Nymphalidae","Eumorpha","anchemolus"
"Ana Cordoba","Notodontidae","Tachuda","discretaDHJ02"
"Ana Cordoba","Saturnidae","Syssphinx ","quadrilineata "
"Ana Cordoba","Hesperiidae","Urbanus","doryssusDHJ01"
"Ana Cordoba","Sphingidae","Xylophanes ","zurcheri "
"Ana Cordoba","Notodontidae","Hemiceras","nigrecens"
"Ana Cordoba","Sphingidae","Enyo","ocypete"
"Ana Cordoba","Eribade","Phoenicoprocta","paucipuncta"
"Ana Cordoba","Geometridae","Oenoptila","Janzen02"
"Ana Cordoba","Arctiidae","Macrocneme","cabimensis"
"Ana Cordoba","Arctiidae","Aclytia ","albistrigaDHJ02 "
"Ana Cordoba","Notodontidae","Nystalea","ocellata"
"Ana Cordoba","Nymphalidae","Tigridia ","acestaDHJ03"
"Ana Cordoba","Hesperiidae","Saliana","esperi"
"Ana Cordoba","Notodontidae","Polypoetes"," approximans"
"Ana Cordoba","Nymphalidae","Colobura","dirce"
"Ana Cordoba","Nymphalidae","Archaeoprepona","camilla "
"Ana Cordoba","Papilionidae","Parides","iphidamas"
"Ana Cordoba","Hesperiidae","Turesis","complanula"
"Ana Cordoba","Hesperiidae","Vertica","subrufescens"
"Ana Cordoba","Hesperiidae","Spioniades","abbreviata"
"Ana Cordoba","Sphingidae","Xylophanes"," guianensis"
"Ana Cordoba","Hesperiidae","Cynea","cynea"
"Ana Cordoba","Hesperiidae","Thracides","nanea nida"
"Ana Cordoba","Hesperiidae","Mylon","maimon"
"ana Cordoba","Notodontidae","Bardaxima","lucilinea"
"Ana Cordoba","Erebidae","Heliura","tetragamma"
"Ana Cordoba","Hesperiidae","Justinia","Burns01"
"Ana Cordoba","Riodinidae","Nymphidium"," onaeum"
"Ana Cordoba","Lycaenidae","Laothus","barajo "
"Ana Cordoba","Hesperiidae","Udranomia","orcinus"
"Ana Cordoba","Crambidae","Ceratocilia","sixolalis"
"Ana Cordoba","Hesperiidae","Bungalotis","midas"
"Ana Cordoba","Hesperiidae","Phocides","nigrescens"
"Ana Cordoba","Notodontidae","Hemiceras"," pallidula"
"Ana Cordoba","Riodinidae","Brachyglenis"," dinora"
"Ana Cordoba","Sphingidae","Xylophanes","acrus"
"Ana Cordoba","Riodinidae","Symmachia","xypete"
"Ana Cordoba","Erebidae","Deinopa","signiplena"
"Ana Cordoba","Crambidae","Phostria"," metalobalis "
"Ana Cordoba","Saturnidae","Syssphinx"," molina"
"Ana Cordoba","Noctuidae","Phuphena","multilinea "
"Ana Cordoba","Sphingidae","Manduca","albiplaga"
"Ana Cordoba","Erebidae","Eucereon","aeolum"
"Angel Hernández","Erebidae","Calodesma","maculifrons  "
"Angel Hernández","Notodontidae","Hemiceras"," pluciata "
